lb x,lb y,lcline x,lcline y,cline x,cline y,rcline x,rcline y,rb x,rb y,theta
625.7377902,450.63322,626.8716916,449.1714513,628.0055929,447.7096826,629.1394943,446.247914,630.2733957,444.7861453,0.659750411
630.3696125,453.7473301,631.399365,452.2104144,632.4291175,450.6734988,633.45887,449.1365831,634.4886225,447.5996674,0.590315275
635.6233275,457.165772,636.632204,455.6150727,637.6410805,454.0643734,638.649957,452.5136742,639.6588335,450.9629749,0.576793064
642.0896535,461.1282378,643.0559726,459.5506677,644.0222917,457.9730976,644.9886108,456.3955275,645.9549299,454.8179574,0.549586482
648.010468,464.4586305,648.9168173,462.8458593,649.8231666,461.2330881,650.7295159,459.6203168,651.6358651,458.0075456,0.511996298
654.7233525,468.0900326,655.6034839,466.4628052,656.4836153,464.8355779,657.3637467,463.2083506,658.2438781,461.5811233,0.495812753
660.3217462,471.0493468,661.1862582,469.4137677,662.0507703,467.7781886,662.9152823,466.1426095,663.7797944,464.5070305,0.486238652
665.3971106,473.1410057,666.0964137,471.4282666,666.7957169,469.7155276,667.49502,468.0027885,668.1943232,466.2900494,0.387636896
670.2923402,474.9466135,670.9318106,473.2106476,671.5712809,471.4746816,672.2107512,469.7387157,672.8502216,468.0027498,0.352941669
676.0428796,476.6785808,676.5743281,474.9065587,677.1057766,473.1345366,677.6372252,471.3625144,678.1686737,469.5904923,0.291374939
681.9683227,477.7940507,682.3039593,475.9747519,682.6395959,474.1554531,682.9752325,472.3361544,683.3108691,470.5168556,0.182435497
687.4347391,478.5342458,687.6815236,476.7007798,687.9283082,474.8673139,688.1750927,473.0338479,688.4218773,471.200382,0.13379588
694.6935725,478.9954754,694.8084762,477.1490471,694.9233799,475.3026189,695.0382835,473.4561907,695.1531872,471.6097625,0.062150103
702.2305828,479.0558509,702.2440347,477.2058998,702.2574866,475.3559487,702.2709384,473.5059976,702.2843903,471.6560465,0.007271343
708.9047935,478.6128963,708.779404,476.7671506,708.6540145,474.9214048,708.528625,473.075659,708.4032355,471.2299132,-0.067830118
